SID,Actual_Class
405266972,1
405266969,1
405258654,1
405266973,1
405266971,1
439657910,1
440228774,1
381749740,1
405266954,1
381749741,1
405266916,1
405266957,1
405266931,1
405266961,1
381749692,1
381749763,1
381749728,1
405266970,1
405266959,1
405266952,1
381749764,1
405266955,1
405266958,1
405266950,1
405266946,1
405266942,1
405266966,1
381749736,1
405266944,1
405266962,1
405266947,1
405266932,1
405266894,1
439657909,1
405266893,1
405266903,1
405266953,1
405266915,1
381749704,1
381749715,1
381749746,1
405266960,1
381749719,1
405266898,1
405266935,1
405266912,1
405266918,1
405266896,1
405266900,1
405266895,1
405266906,1
381749695,1
405266967,1
381749749,1
381749690,1
381749737,1
405266904,1
312369706,1
405266945,1
405266933,1
405266917,1
405266926,1
439657873,1
405266936,1
378171166,1
405266949,1
381749713,1
386051278,1
405266925,1
405266951,1
405266937,1
405266943,1
405266901,1
405266919,1
131278974,1
405266897,1
104011334,1
386051280,1
381749701,1
103262502,1
405266911,1
378171168,1
405266886,1
405266963,1
378171172,1
405266902,1
405266914,1
378171173,1
405266905,1
312369674,1
405266922,1
405266934,1
405266928,1
103560539,1
103560572,1
405266927,1
405266885,1
405266888,1
312369694,1
405266939,1
103304009,1
378171159,1
405266920,1
405266879,1
144204745,1
103503415,1
405266956,1
103168841,1
405266884,1
103423600,1
103560547,1
103605085,1
378171158,1
405266924,1
26757070,1
26753555,1
144205328,1
144204759,1
405266929,1
405266890,1
386051288,1
312369708,1
103560532,1
26751714,1
131278973,1
103528194,1
378171153,1
386051291,1
386051279,1
405266948,1
104234202,1
103560595,1
405266964,1
103560592,1
160666617,1
378171160,1
405266976,1
103560585,1
103560583,1
433929297,1
378162152,1
381749747,1
103448799,1
160682597,1
103224650,1
103560536,1
50104036,1
103560546,1
405266930,1
123097016,1
103560588,1
405266965,1
405258646,1
123083193,1
103560544,1
103560537,1
103555944,1
136945727,1
336285233,1
103560552,1
103560597,1
144204116,1
103560593,1
103167959,1
386051289,1
170465613,1
405266974,1
170466197,1
439657486,1
252149341,1
405266977,1
405258656,1
103181781,1
441572161,1
103560590,1
103507684,1
103560542,1
131274908,1
103560541,1
103210597,1
50106870,1
469805670,1
136929483,1
103507696,1
312369700,1
441572171,1
441572166,1
441572163,1
441572165,1
441572162,1
441572164,1
441572160,1
441572167,1
144206876,1
160708580,1
50106138,1
144205778,1
144204836,1
103435149,1
144211853,1
386051284,1
386051267,1
50106799,1
50106905,1
50105848,1
103560549,1
381749693,1
386051268,1
103480738,1
144213478,1
103558550,1
134418972,1
50106618,1
50106525,1
384223052,1
441572179,1
479268944,1
336285272,1
441572206,1
103734485,1
383539885,1
103268010,1
103167216,1
442047416,1
103528240,1
386051010,1
441572209,1
384223054,1
50106315,1
144206117,1
103506494,1
381872686,1
386051281,1
144204511,1
160666470,1
252149339,1
103401015,1
404345891,1
404345877,1
336285274,1
482080254,1
50106316,1
144204514,1
50106350,1
26751967,1
50106356,1
50106472,1
475954992,1
103560561,1
144206146,1
144204465,1
384223044,1
136929484,1
405266899,1
104253152,1
170466398,1
336874996,1
386051274,1
170465172,1
381611676,1
404958540,1
404958545,1
404958552,1
381611674,1
404958543,1
50107120,1
103450839,1
386051329,1
405266889,1
252149337,1
131278972,1
104240781,1
405266938,1
103560534,1
103305814,1
50106983,1
144204288,1
144205145,1
174505192,1
103224720,1
252149355,1
386051287,1
170466010,1
336888964,1
441572180,1
439657474,1
144211763,1
103314903,1
384223066,1
103164917,1
144206880,1
483620846,0
483620845,0
483620834,0
483620844,0
483620833,0
483620826,0
483620837,0
483620832,0
483620827,0
483620829,0
483620831,0
483620840,0
483620843,0
483620838,0
483620830,0
483620841,0
483620839,0
483620828,0
483620835,0
386051309,0
484206068,0
484206070,0
484206069,0
346546376,0
144213807,0
50106516,0
471055912,0
382366841,0
144212683,0
381756219,0
144208185,0
144207884,0
144214000,0
144207893,0
144212231,0
144211112,0
144211427,0
144211541,0
144211361,0
144212722,0
144210755,0
376222618,0
144211849,0
144210911,0
144213195,0
381749710,0
471055896,0
144208100,0
144205533,0
144205823,0
17388970,0
17389495,0
378171164,0
461604594,0
378162166,0
144213766,0
144211037,0
144207640,0
381749762,0
144206450,0
26751577,0
144208622,0
144212656,0
144213790,0
144210587,0
144212093,0
144211856,0
144212233,0
144213059,0
144213686,0
144208151,0
144208673,0
386051305,0
346541914,0
346546375,0
484206273,0
144206386,0
144208086,0
144209563,0
376222617,0
341094604,0
386051310,0
313074310,0
471055920,0
144213392,0
144206452,0
144206412,0
144212847,0
144211539,0
144209442,0
17389063,0
144206433,0
144211118,0
459091529,0
459091534,0
459091532,0
459091539,0
459091531,0
459091541,0
459091542,0
459091545,0
459091527,0
459091516,0
459091547,0
459091548,0
459091528,0
459091530,0
459091511,0
375077207,0
341094629,0
341094631,0
341094606,0
85753134,0
375077250,0
103975058,0
103975074,0
103975081,0
341094659,0
378162165,0
252149354,0
252640958,0
252149349,0
346546353,0
346546361,0
346546354,0
313074297,0
346542522,0
441289133,0
346546304,0
346546275,0
329587692,0
459091533,0
459091535,0
459091501,0
459091543,0
378162155,0
144209185,0
17388891,0
488875489,0
441576636,0
441576637,0
386400892,0
341094904,0
341094881,0
144206176,0
386051327,0
144212814,0
144207760,0
482092992,0
144211015,0
144211576,0
144211483,0
144212587,0
386397340,0
484206284,0
17388983,0
17389922,0
50106348,0
17388799,0
17389510,0
471055916,0
471055917,0
17390034,0
471055913,0
144213924,0
144211096,0
144211214,0
144210602,0
144212861,0
484206266,0
144209998,0
144208726,0
144207630,0
17389064,0
381749754,0
441576643,0
441576642,0
441576645,0
441576635,0
441576640,0
441576639,0
441576646,0
441576634,0
441576638,0
461604579,0
386400847,0
386400949,0
386400951,0
386400925,0
386400944,0
386400920,0
386400947,0
386400948,0
441576644,0
404857356,0
471055924,0
471055923,0
471055922,0
471055895,0
471055894,0
471055899,0
471055898,0
471055897,0
471055925,0
471055918,0
471055915,0
471055914,0
471055906,0
471055902,0
471055903,0
471055901,0
471055907,0
471055905,0
471055904,0
471055909,0
471055910,0
471055921,0
471055919,0
471055908,0
386051125,0
341094880,0
144213127,0
386051313,0
144207759,0
144210961,0
144208665,0
144208684,0
144208381,0
251919735,0
144210544,0
144211042,0
144211526,0
144213972,0
144211169,0
144213718,0
144209847,0
144206448,0
376222620,0
144211260,0
144213969,0
341094883,0
341094896,0
341094893,0
376222625,0
